Removed Member From Class: ClassName=50OHM Member=VDDIO
Added Pin To Net: NetName=+3V3 Pin=C16-2
Added Pin To Net: NetName=+3V3 Pin=C17-2
Added Pin To Net: NetName=+3V3 Pin=C18-2
Added Pin To Net: NetName=+3V3 Pin=C19-2
Added Pin To Net: NetName=+3V3 Pin=FB1-1
Added Pin To Net: NetName=+3V3 Pin=R5-2
Added Pin To Net: NetName=+3V3 Pin=R8-1
Added Pin To Net: NetName=+3V3 Pin=R9-2
Added Pin To Net: NetName=+3V3 Pin=R10-2
Added Pin To Net: NetName=+3V3 Pin=U2-17
Added Member To Class: ClassName=50OHM Member=Wire +3V3
